City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Kulhudhuffushi,MV,2022-08-11 18:33:50,6.6221,73.07,80.96,82,21,11.95
120,Arrecife,ES,2022-08-11 18:33:50,28.963,-13.5477,78.78,61,40,17.27
121,Severo-Kurilsk,RU,2022-08-11 18:33:50,50.6789,156.125,55.74,96,100,12.08
122,Mabaruma,GY,2022-08-11 18:33:51,8.2,-59.7833,86.0,74,40,6.91
123,Avarua,CK,2022-08-11 18:33:51,-21.2078,-159.775,73.45,83,20,13.8
124,Asfi,MA,2022-08-11 18:33:52,32.2994,-9.2372,72.48,75,0,16.4
125,Pevek,RU,2022-08-11 18:33:52,69.7008,170.3133,36.77,92,90,5.91
126,Smithers,CA,2022-08-11 18:33:52,54.7804,-127.1743,71.92,53,20,2.3
127,Rawson,AR,2022-08-11 18:33:53,-43.3002,-65.1023,60.8,33,2,12.8
128,Tolga,DZ,2022-08-11 18:33:53,34.7222,5.3785,101.21,24,0,5.7
129,Umea,SE,2022-08-11 18:33:54,63.8284,20.2597,62.91,51,0,6.91
130,Rio Gallegos,AR,2022-08-11 18:33:54,-51.6226,-69.2181,41.05,65,40,10.36
131,Saravena,CO,2022-08-11 18:33:54,6.9538,-71.8752,87.03,57,39,3.33
132,Jamestown,US,2022-08-11 18:31:00,42.097,-79.2353,76.05,47,40,12.66
133,Denpasar,ID,2022-08-11 18:31:59,-8.65,115.2167,80.26,88,40,10.36
134,Machilipatnam,IN,2022-08-11 18:34:55,16.1667,81.1333,84.9,73,100,12.82
135,Cody,US,2022-08-11 18:34:55,44.5263,-109.0565,87.91,38,0,6.91
136,Samarai,PG,2022-08-11 18:34:56,-10.6167,150.6667,78.96,81,97,17.38
137,Nuuk,GL,2022-08-11 18:34:56,64.1835,-51.7216,50.61,76,20,6.91
138,Pisco,PE,2022-08-11 18:34:57,-13.7,-76.2167,64.02,82,100,9.22
139,Margate,GB,2022-08-11 18:34:57,51.3813,1.3862,77.11,76,0,5.01
140,Pochutla,MX,2022-08-11 18:34:58,15.7432,-96.4661,84.02,57,100,5.88
141,Richards Bay,ZA,2022-08-11 18:34:58,-28.783,32.0377,70.57,74,4,13.44
142,Yambio,SS,2022-08-11 18:30:13,4.5721,28.3955,66.65,99,100,3.02
143,San Patricio,US,2022-08-11 18:34:59,28.017,-97.5169,96.17,51,100,3.83
144,Buala,SB,2022-08-11 18:34:59,-8.145,159.5921,78.96,82,84,4.9
145,Provideniya,RU,2022-08-11 18:34:59,64.3833,-173.3,49.91,92,100,7.25
146,Fairbanks,US,2022-08-11 18:31:17,64.8378,-147.7164,60.22,66,0,0.0
147,Tuatapere,NZ,2022-08-11 18:35:00,-46.1333,167.6833,33.21,88,4,5.53
148,Kiama,AU,2022-08-11 18:35:00,-34.6833,150.8667,57.38,76,100,5.01
149,Madison Heights,US,2022-08-11 18:33:30,42.4859,-83.1052,80.82,50,40,9.22
150,Te Anau,NZ,2022-08-11 18:35:01,-45.4167,167.7167,29.43,92,31,1.01
151,Tiksi,RU,2022-08-11 18:35:01,71.6872,128.8694,41.11,97,100,12.37
152,Ubrique,ES,2022-08-11 18:35:02,36.6778,-5.446,79.86,55,0,2.59
153,Tirumullaivasal,IN,2022-08-11 18:35:02,11.2333,79.8333,83.26,68,100,11.07
154,Hollola,FI,2022-08-11 18:35:03,61.05,25.4333,63.59,76,33,5.53
155,Hamilton,US,2022-08-11 18:35:03,39.1834,-84.5333,85.62,57,0,8.05
156,Bilibino,RU,2022-08-11 18:32:22,68.0546,166.4372,59.97,73,100,3.65
157,Katangli,RU,2022-08-11 18:35:04,51.7102,143.2326,53.78,89,29,5.1
158,New Glasgow,CA,2022-08-11 18:35:04,45.5834,-62.6486,74.79,63,89,5.35
159,Pangody,RU,2022-08-11 18:35:05,65.85,74.4859,60.55,49,100,13.98
160,Aygehovit,AM,2022-08-11 18:35:05,40.9795,45.2503,75.96,56,82,2.1
161,Upernavik,GL,2022-08-11 18:35:05,72.7868,-56.1549,41.9,80,100,7.34
162,Caravelas,BR,2022-08-11 18:35:06,-17.7125,-39.2481,76.46,64,100,9.78
163,Anadyr,RU,2022-08-11 18:35:06,64.75,177.4833,55.9,87,40,4.47
164,Meulaboh,ID,2022-08-11 18:35:07,4.1363,96.1285,77.74,84,100,1.05
165,Dikson,RU,2022-08-11 18:33:11,73.5069,80.5464,44.22,93,99,19.3
166,Esperance,AU,2022-08-11 18:35:07,-33.8667,121.9,54.09,69,94,9.33
167,Cap Malheureux,MU,2022-08-11 18:35:08,-19.9842,57.6142,70.47,57,92,5.99
168,Vaini,TO,2022-08-11 18:35:08,-21.2,-175.2,71.76,88,40,11.5
169,Clyde River,CA,2022-08-11 18:35:09,70.4692,-68.5914,41.23,87,75,11.5
170,Dongying,CN,2022-08-11 18:35:09,37.4564,118.4856,74.52,93,0,3.2
171,Tecoanapa,MX,2022-08-11 18:35:09,16.5167,-98.75,87.01,57,100,6.53
172,Lyubashivka,UA,2022-08-11 18:35:10,47.8372,30.2598,73.35,48,71,8.46
173,Novikovo,RU,2022-08-11 18:35:10,51.1537,37.8879,75.22,52,5,12.37
174,Nyurba,RU,2022-08-11 18:35:11,63.2842,118.3319,60.21,76,100,2.93
175,Geraldton,AU,2022-08-11 18:31:41,-28.7667,114.6,48.61,81,0,6.91
176,Pingliang,CN,2022-08-11 18:35:11,35.5392,106.6861,72.0,71,38,5.26
177,Araouane,ML,2022-08-11 18:35:12,18.9048,-3.5265,102.15,24,3,4.14
178,Loa Janan,ID,2022-08-11 18:35:12,-0.583,117.095,73.51,95,93,0.45
179,Andenes,NO,2022-08-11 18:35:13,69.3143,16.1194,51.78,82,75,32.21
180,Ponta Do Sol,PT,2022-08-11 18:35:13,32.6667,-17.1,75.13,69,68,4.61
181,Pesochnoye,RU,2022-08-11 18:35:14,58.006,39.1772,58.44,73,35,5.06
182,Beloha,MG,2022-08-11 18:36:14,-25.1667,45.05,66.49,62,0,9.22
183,Vestmannaeyjar,IS,2022-08-11 18:36:14,63.4427,-20.2734,50.99,81,75,11.5
184,Biltine,TD,2022-08-11 18:36:15,14.5333,20.9167,77.74,78,100,19.24
185,Kongolo,CD,2022-08-11 18:36:15,-5.3833,27.0,81.95,27,99,4.12
186,Bereda,ES,2022-08-11 18:36:16,43.2686,-7.5406,79.57,69,0,1.9
187,College,US,2022-08-11 18:36:16,64.8569,-147.8028,60.21,66,20,0.0
